124,Mount Vesuvius led to the destruction of which Roman city?,Pompeii,Constantinople
125,Which river gave life to Ancient Egypt,The Nile,The Euphrates
126,When did the UK leave the EU?,2020,2019
127,What is the largest city in Scotland by population?,Glasgow,Edinburgh
128,What is the capital of Ukraine,Kyiv,Donetsk
129,What is the tallest mountain in Europe,Mount Elbrus Russia,Dom Switzerland
130,Name the tectonic boundary fault line located in California,San Andreas Fault,Cerro Prieto Fault
131,Which of these is not in the EU?,Russia,Czechia
132,Which of these is a desert in Australia?,Strzelecki Desert,Great Basin Desert
133,In coastal beach terminology what is a cusp?,Piles of sediment several meters long formed by waves,Overhanging cliff formations caused by wave erosion
134,What is the name of the river that runs through the centre of Birmingham?,River Rea,River Trent
135,What is the name of the largest lake in the World?,Caspian Sea,Lake Victoria
136,Which of these is a mountain range in Spain?,Pyrenees,The Dolomites
137,Which ocean is Madagascar located?,Indian Ocean,Pacific Ocean
138,What is the biggest country by area in the Arabian Peninsula?,Saudi Arabia,Qatar
139,What is the second most largest coral reef?,Belize Barrier Reef ,Florida Keys Reef
140,Which Stadium in the UK is at the highest elevation?,Hawthornes West Bromwich,Ibrox Glasgow
141,What is the Koppen classification for an Equitorial Climate?,Tropical,Temperate
142,Which Continent is larger in terms of population?,Europe,North America
143,In what year did Hong Kong cease being a British Colony? ,1997,1982
144,Is Tokyo a prefecture or a city?,Prefecture,City
145,What is the German equivalent to 'States',Lander,Bavaria
146,Cambodia Thailand and Vietnam all border what sea?,Gulf of Thailand,South China Sea
147,Which of these describes a Savanna?,Grassland,Woodland
148,Which of these Cities is built near Table Mountain?,Cape Town,Melbourne
149,What is the official language of Cape Verde?,Portuguese,Spanish
150,In what province is Beijing located in?,Hebei,Jiangsu
